counter,StopId,StopName,StreetNum,OnStreet,AtStreet,UTAStopID,latitude,longitude
3803,23242,GRIZZLY WAY @ 7048 S ,7048,S GRIZZLY WAY ,W DEVONNA RD ,198062,40.62319799,-112.012992
3804,23243,GRIZZLY WAY @ 7061 S ,7061,S GRIZZLY WAY ,WHEATCREST CIR ,198063,40.62295399,-112.012771
3805,23244,GRIZZLY WAY @ 7366 S ,7366,S GRIZZLY WAY ,W THRUSH HILL DR ,198064,40.61711503,-112.013113
3806,23245,GRIZZLY WAY @ 7381 S ,7381,S GRIZZLY WAY ,W THRUSH HILL DR ,198065,40.61674604,-112.012692
3807,23246,GRIZZLY WAY @ 7826 S ,7826,S GRIZZLY WAY ,REDWOOD RD ,198066,40.60891301,-112.012746
3808,23247,GRIZZLY WAY @ 7761 S ,7761,S GRIZZLY WAY ,REDWOOD RD ,198067,40.61035,-112.0125591
3809,23248,GRIZZLY WAY @ 7981 S ,7981,S GRIZZLY WAY ,W HAYDEN PEAK DR ,198068,40.60662103,-112.0135171
3810,23249,GRIZZLY WAY @ 7980 S ,7980,S GRIZZLY WAY ,SWIFTWATER WAY ,198069,40.60609304,-112.01446
3811,23250,GRIZZLY WAY @ 8271 S ,8271,S GRIZZLY WAY ,W 8320 S ,198070,40.60083,-112.019933
3812,23251,GRIZZLY WAY @ 8292 S ,8292,S GRIZZLY WAY ,W WILD OAK DR ,198071,40.59997998,-112.020042
3813,23252,GRIZZLY WAY @ 8740 S ,8740,S GRIZZLY WAY ,OLD CREEK RD ,198072,40.59234404,-112.014809
3814,23253,GRIZZLY WAY @ 8731 S ,8731,S GRIZZLY WAY ,OLD CREEK RD ,198073,40.59287399,-112.0146169
3815,23254,9000 S @ 5167 W ,5167,W 9000 S ,OLD CREEK RD ,198074,40.587824,-112.014043
3816,23255,9000 S @ 5156 W ,5156,W 9000 S ,OLD CREEK RD ,198075,40.58804297,-112.013903
3817,23256,9000 S @ 4841 W ,4841,W 9000 S ,4800 W ,198076,40.58781097,-112.00618
3818,23257,9000 S @ 4820 W ,4820,W 9000 S ,4800 West ,198077,40.58803403,-112.005766
3819,23258,OLD BINGHAM HWY @ 4362 W ,4362,W OLD BINGHAM HWY ,COURTNEY PL ,198078,40.58639503,-111.9951001
3820,23259,OLD BINGHAM HWY @ 4786 W ,4786,W OLD BINGHAM HWY ,4800 W ,198079,40.58171702,-112.004673
3821,23262,2ND AVE @ 124 E ,124,E 2ND AVE ,REDWOOD RD ,198082,40.77165804,-111.8866649
3822,23263,2ND AVE @ 190 E ,190,E 2ND AVE ,REDWOOD RD ,198083,40.77165197,-111.883757
3823,23264,2ND AVE @ 290 E ,290,E 2ND AVE ,REDWOOD RD ,198084,40.77165603,-111.880739
3824,23265,2ND AVE @ 340 E ,340,E 2ND AVE ,REDWOOD RD ,198085,40.77165104,-111.879267
3825,23266,3RD AVE @ 361 E ,361,E 3RD AVE ,REDWOOD RD ,198086,40.77287998,-111.8788291
3826,23267,3RD AVE @ 291 E ,291,E 3RD AVE ,REDWOOD RD ,198087,40.77288304,-111.880413
3827,23307,N TEMPLE @ 1881 W ,1881,W N TEMPLE ,Orange St ,198089,40.77138598,-111.944952
3828,23311,GRIZZLY WAY @ 8620 S ,8620,S GRIZZLY WAY ,NEW BINGHAM HWY ,198090,40.59640402,-112.016207
3829,23312,GRIZZLY WAY @ 8461 S ,8461,S GRIZZLY WAY ,NEW B INGHAM HWY ,198091,40.59770396,-112.01718
3830,23371,TERMINAL DR @ 786 N ,786,N TERMINAL DR ,NEW B INGHAM HWY ,198099,40.786343,-111.983237
3831,23360,STATE ST @ 7087 S ,7087,S STATE ST ,US-89 ,198102,40.622541,-111.890277
3832,23362,1950 W @ 126 N ,126,N 1950 W ,US-89 ,198103,40.77206799,-111.946866
3833,23342,TERMINAL DR @ 714 N ,714,N TERMINAL DR ,US-89 ,198107,40.784282,-111.9804701
3834,23374,3600 W @ 13273 S ,13273,S 3600 W ,JOHNSON CREEK CV ,198110,40.51004697,-111.976711
3835,23401,2700 S @ 8942 W ,8942,W 2700 S ,S 8950  W ,198113,40.71104897,-112.104864
3836,23522,12300 S @ 159 E ,159,E 12300 S ,UT-71 ,198127,40.52689198,-111.885557
3837,23524,700 E @ 12346 S ,12346,S 700 E ,UT-71 ,198128,40.52608999,-111.871305
3838,23525,12400 S @ 1115 E ,1115,E 12400 S ,UT-71 ,198129,40.52538898,-111.859558
3839,23526,12400 S @ 989 E ,989,E 12400 S ,PIONEER RD ,198130,40.52515599,-111.863669
3840,23527,12400 S @ 723 E ,723,E 12400 S ,S 700 E ,198131,40.52516603,-111.8706499
3841,23529,10600 S @ 673 E ,673,E 10600 S ,E 106TH S ,198133,40.55889098,-111.8727761
3842,23530,10600 S @ 287 E ,287,E 10600 S ,E 106TH S ,198134,40.558922,-111.882165
3843,23531,10600 S @ 288 E ,288,E 10600 S ,E 106TH S ,198135,40.55874798,-111.882244
3844,23556,400 S @ 409 W ,409,W 400 S ,S 400 W ,198136,40.76050403,-111.902898
3845,23551,1300 E @ 1981 S ,1981,S 1300 E ,S 13TH E ,198137,40.72741999,-111.8538521
3846,23552,900 S @ 212 E ,212,E 900 S ,S 200 E ,198138,40.749704,-111.8849489
3847,23553,900 E @ 2225 S ,2225,S 900 E ,SUGARMONT DR ,198139,40.72243204,-111.865299
